date,open,high,low,close,volume,openinterest
20050104,0.4884,0.4889,0.4742,0.4869,2079.33,
20050105,0.5007,0.5007,0.4752,0.4884,1947.38,
20050106,0.481,0.4884,0.481,0.484,2992.04,
20050107,0.4864,0.4982,0.483,0.4923,8304.62,
20050110,0.4923,0.4958,0.4889,0.4953,1870.0,
20050111,0.4953,0.4992,0.486,0.4879,3150.91,
20050112,0.4909,0.5007,0.484,0.4923,1599.35,
20050113,0.4928,0.4953,0.4869,0.4938,1940.76,
20050114,0.4953,0.4982,0.4864,0.4909,5006.31,
20050117,0.481,0.4933,0.4737,0.486,3940.6,
20050118,0.482,0.482,0.4594,0.4693,6190.14,
20050119,0.4653,0.4678,0.4565,0.4629,5460.64,
20050120,0.4521,0.4604,0.4516,0.4599,2897.3,
20050121,0.4531,0.481,0.4516,0.4806,6417.17,
20050124,0.4855,0.4904,0.4712,0.485,5717.35,
20050125,0.4761,0.485,0.4761,0.4806,3454.56,
20050126,0.4786,0.4884,0.4761,0.4864,3793.64,
20050127,0.481,0.4874,0.481,0.4864,1398.9,
20050128,0.482,0.4879,0.4766,0.4864,2196.16,
20050131,0.4722,0.4899,0.4688,0.4737,2504.5,
20050201,0.481,0.483,0.4737,0.4791,1270.5,
20050202,0.481,0.5233,0.4761,0.5139,11194.33,
20050203,0.5085,0.5149,0.4967,0.5036,9600.23,
20050204,0.5031,0.5154,0.4958,0.5139,7012.09,
20050216,0.5154,0.5233,0.509,0.5179,15373.06,
20050217,0.5149,0.5174,0.5007,0.5154,3838.96,
20050218,0.5095,0.5169,0.508,0.5134,2690.0,
20050221,0.5134,0.5375,0.51,0.5306,8242.25,
20050222,0.5242,0.5429,0.5242,0.539,5895.1,
20050223,0.535,0.5375,0.5233,0.5341,7821.87,
20050224,0.536,0.5395,0.5228,0.5242,11525.51,
20050225,0.5242,0.5257,0.5208,0.5218,10560.72,
20050228,0.5203,0.5203,0.5017,0.508,27691.0,
20050301,0.5129,0.5139,0.5026,0.5056,6460.72,
20050302,0.5061,0.508,0.4904,0.4953,15677.4,
20050303,0.4958,0.4958,0.4884,0.4909,11892.38,
20050304,0.4904,0.4938,0.483,0.4884,12292.5,
20050307,0.4884,0.4914,0.486,0.4904,11951.22,
20050308,0.4923,0.5026,0.4904,0.5007,14258.09,
20050309,0.5007,0.5061,0.4958,0.5031,22138.35,
