date,amount,price,sid,symbol,value,,,,,date,amount,price,sid,symbol,value
2010-02-10 15:00:00+00:00,1852,5.346757481,0,,-9902.194855,,,,,2010-02-10 15:00:00+00:00,1852,5.346757481,0,,-9902.194855
2010-04-19 11:30:00+00:00,-1852,5.716120677,0,,10586.25549,,,,,2010-04-20 14:00:00+00:00,-1852,5.477385929,0,,10144.11874
2010-05-19 11:30:00+00:00,2413,4.380557414,0,,-10570.28504,,,,,2010-05-19 11:30:00+00:00,2313,4.380557414,0,,-10132.2293
2010-06-30 11:30:00+00:00,-2413,4.213893533,0,,10168.1251,,,,,2010-06-30 11:30:00+00:00,-2313,4.213893533,0,,9746.735742
2011-01-14 14:00:00+00:00,1715,5.933533336,0,,-10176.00967,,,,,2011-01-14 14:00:00+00:00,1644,5.933533336,0,,-9754.728804
2011-04-27 10:30:00+00:00,-1715,7.571922868,0,,12985.84772,,,,,2011-08-19 11:30:00+00:00,-1644,7.193302622,0,,11825.78951
2011-04-29 15:00:00+00:00,1704,7.616952601,0,,-12979.28723,,,,,2011-08-24 11:30:00+00:00,1633,7.22842617,0,,-11804.01994
2011-08-08 11:30:00+00:00,-1704,7.688544648,0,,13101.28008,,,,,2011-10-21 14:00:00+00:00,-1633,6.350337471,0,,10370.10109
2011-08-24 11:30:00+00:00,1809,7.22842617,0,,-13076.22294,,,,,2011-11-03 14:00:00+00:00,1464,7.091444333,0,,-10381.8745
2011-10-21 14:00:00+00:00,-1809,6.350337471,0,,11487.76049,,,,,2011-12-08 11:30:00+00:00,-1464,6.048274958,0,,8854.674539
2011-11-03 14:00:00+00:00,1622,7.091444333,0,,-11502.32271,,,,,2011-12-14 11:30:00+00:00,1533,5.788360703,0,,-8873.556958
2011-12-08 11:30:00+00:00,-1622,6.048274958,0,,9810.301982,,,,,2013-05-14 14:00:00+00:00,-1533,9.07554846,0,,13912.81579
2011-12-14 11:30:00+00:00,1698,5.788360703,0,,-9828.636474,,,,,2013-05-17 10:30:00+00:00,1506,9.226508078,0,,-13895.12117
2012-06-27 15:00:00+00:00,-1698,7.245987944,0,,12303.68753,,,,,2013-06-25 14:00:00+00:00,-1506,8.500464202,0,,12801.69909
2012-09-03 10:30:00+00:00,1669,7.332324301,0,,-12237.64926,,,,,2013-06-26 15:00:00+00:00,1457,8.770034948,0,,-12777.94092
2013-05-14 14:00:00+00:00,-1669,9.07554846,0,,15147.09038,,,,,2014-01-13 11:30:00+00:00,-1457,10.81096139,0,,15751.57075
2013-05-17 10:30:00+00:00,1648,9.226508078,0,,-15205.28531,,,,,2014-04-29 14:00:00+00:00,1389,11.31900934,0,,-15722.10397
2013-06-25 14:00:00+00:00,-1648,8.500464202,0,,14008.765,,,,,2015-06-19 11:30:00+00:00,-1389,21.47855763,0,,29833.71655
2013-06-26 15:00:00+00:00,1594,8.770034948,0,,-13979.43571,,,,,2015-09-17 10:30:00+00:00,2121,14.04232025,0,,-29783.76125
2013-09-06 15:00:00+00:00,-1594,9.473599893,0,,15100.91823,,,,,,,,,,
2013-09-24 10:30:00+00:00,1530,9.850900204,0,,-15071.87731,,,,,,,,,,
2013-12-23 10:30:00+00:00,-1530,11.8046434,0,,18061.1044,,,,,,,,,,
2014-04-29 14:00:00+00:00,1595,11.31900934,0,,-18053.8199,,,,,,,,,,
2015-02-03 10:30:00+00:00,-1595,15.70356983,0,,25047.19388,,,,,,,,,,
2015-09-17 10:30:00+00:00,1783,14.04232025,0,,-25037.45701,,,,,,,,,,
2016-01-04 15:00:00+00:00,-1783,16.76472648,0,,29891.50731,,,,,2016-01-04 15:00:00+00:00,-2121,16.76472648,0,,35557.98486
2016-01-29 14:00:00+00:00,1932,15.40766076,0,,-29767.60059,,,,,2016-01-29 14:00:00+00:00,2298,15.40766076,0,,-35406.80443
2016-12-05 11:30:00+00:00,-1932,23.47028655,0,,45344.59361,,,,,2016-12-05 11:30:00+00:00,-2298,23.47028655,0,,53934.71849
2017-01-18 10:30:00+00:00,2083,21.77396374,0,,-45355.16647,,,,,2017-01-18 10:30:00+00:00,2478,21.77396374,0,,-53955.88215
2017-05-09 11:30:00+00:00,-2083,27.56300191,0,,57413.73298,,,,,2018-02-09 11:30:00+00:00,-2478,46.28370347,0,,114691.0172
2017-08-18 15:00:00+00:00,1590,35.93472753,0,,-57136.21677,,,,,2018-05-04 10:30:00+00:00,2645,43.04083635,0,,-113843.0121
2017-11-29 11:30:00+00:00,-1590,40.37134573,0,,64190.43971,,,,,2018-08-02 11:30:00+00:00,-2645,39.43138425,0,,104296.0113
2018-05-04 10:30:00+00:00,1489,43.04083635,0,,-64087.80533,,,,,2018-09-11 14:00:00+00:00,3046,34.30859416,0,,-104503.9778
2018-08-02 11:30:00+00:00,-1489,39.43138425,0,,58713.33115,,,,,2019-05-06 11:30:00+00:00,-3046,49.47241873,0,,150692.9875
2018-09-11 14:00:00+00:00,1715,34.30859416,0,,-58839.23898,,,,,2019-06-19 11:30:00+00:00,2983,50.32029959,0,,-150105.4537
2018-10-29 15:00:00+00:00,-1715,34.19579878,0,,58645.79491,,,,,2020-02-03 11:30:00+00:00,-2983,58.4338496,0,,174308.1734
2018-12-26 11:30:00+00:00,1737,33.73521766,0,,-58598.07308,,,,,,,,,,
2019-04-25 15:00:00+00:00,-1737,55.63622673,0,,96640.12583,,,,,,,,,,
2019-06-19 11:30:00+00:00,1912,50.32029959,0,,-96212.41282,,,,,,,,,,
2019-08-02 11:30:00+00:00,-1912,50.08213081,0,,95757.03411,,,,,,,,,,
