,pe_ratio,pb_ratio,market_cap,report_date,ors,npgr,roic,pe_ratio_score,pb_ratio_score,market_cap_score,report_date_score,ors_score,npgr_score,roic_score
000001.SZ,7.1829,1.0147,1531.0283,2015-09-30,24576999424.0,13.0399999619,6.4289999008,3,1,10,1,1,4,1
000002.SZ,9.1505,1.6546,1444.1841,2015-09-30,29329412096.0,6.1399998665,-0.423999995,3,2,10,1,1,5,9
000004.SZ,227.3086,27.1135,22.0943,2015-09-30,29348952.0,142.6900024414,-0.0689999983,9,10,1,7,10,2,8
000005.SZ,133.9272,9.3622,60.5289,2015-09-30,9471826.0,6.6100001335,0.0370000005,9,9,5,7,10,5,6
000006.SZ,18.4525,3.1244,132.2995,2015-09-30,282841184.0,15.5399999619,-0.6600000262,4,5,8,7,7,4,10
000007.SZ,-199.8391,19.3571,67.3726,2015-09-30,31002492.0,-74.2200012207,0.2119999975,1,10,5,7,10,8,4
000008.SZ,299.861,7.427,207.2112,2015-09-30,264509584.0,880.2800292969,-0.0379999988,10,9,9,7,7,1,7
000009.SZ,92.3774,4.7387,177.0423,2015-09-30,1136427904.0,160.8999938965,-0.2389999926,8,7,8,7,4,1,9
000010.SZ,-56.496,6.8556,37.5777,2015-09-30,141775520.0,120.0299987793,-0.5460000038,2,9,2,7,8,2,10
000011.SZ,19.371,3.3074,65.2001,2015-09-30,297288992.0,-85.6200027466,-0.0659999996,4,5,5,7,7,9,7
000012.SZ,46.6898,2.512,188.8555,2015-09-30,2054090496.0,-46.5499992371,0.3280000091,6,4,9,7,3,8,3
000014.SZ,67.274,5.0076,33.8865,2015-09-30,40523236.0,-107.4300003052,-0.0419999994,7,7,2,7,10,9,7
000016.SZ,-46.0365,3.5,132.9186,2015-09-30,4900151808.0,-1891.1400146484,0.4740000069,2,6,8,7,2,10,3
000017.SZ,1394.7782,388.0173,47.8019,2015-09-30,62791436.0,-84.1200027466,0.0,10,10,3,7,9,9,7
000019.SZ,64.9827,2.7974,27.308,2015-09-30,86178576.0,75.6999969482,-0.0649999976,7,4,1,7,9,2,7
000020.SZ,188.4135,13.0117,38.4533,2015-09-30,140688912.0,1918.2299804688,0.1700000018,9,10,2,7,8,1,4
000021.SZ,37.766,2.3309,121.9674,2015-09-30,4013946112.0,4.0,-0.0080000004,6,3,7,7,2,5,7
000023.SZ,169.2766,11.525,42.3623,2015-09-30,250864208.0,69.7200012207,0.0480000004,9,10,3,7,7,3,6
000025.SZ,1195.3786,17.9,149.1165,2015-09-30,73318968.0,349.6700134277,0.1280000061,10,10,8,7,9,1,5
000026.SZ,31.8631,2.4818,41.5548,2015-09-30,784087488.0,-16.0799999237,0.6600000262,5,4,3,7,5,6,2
000027.SZ,18.5801,1.7031,376.6267,2015-09-30,3187848960.0,3.0899999142,0.7239999771,4,2,10,7,2,5,2
000028.SZ,30.6498,4.1672,211.6683,2015-09-30,6866003456.0,13.5200004578,1.1260000467,5,7,9,7,1,4,1
000029.SZ,28.5248,5.7874,128.2785,2015-09-30,460650560.0,310.4800109863,0.7940000296,5,8,8,7,6,1,2
000030.SZ,17.7968,2.3342,104.3654,2015-09-30,850113280.0,-23.8299999237,0.1490000039,4,3,7,7,4,7,5
000031.SZ,34.9853,4.0244,230.1625,2015-09-30,3914153472.0,241.6600036621,0.9309999943,6,6,9,7,2,1,2
000032.SZ,130.9318,4.2222,37.0021,2015-09-30,218658880.0,73.1100006104,0.0340000018,9,7,2,7,8,3,6
000034.SZ,134.1114,23.2367,43.7802,2015-09-30,122122560.0,-51.5400009155,-0.0710000023,9,10,3,7,9,8,8
000035.SZ,46.0844,4.9466,83.5407,2015-09-30,189146640.0,21.7700004578,0.2569999993,6,7,6,7,8,4,4
000036.SZ,421.1972,3.7781,73.6755,2015-09-30,55976132.0,-326.8500061035,-0.47299999,10,6,6,7,10,10,9
000037.SZ,-12.1458,3.7206,43.4592,2015-09-30,379682016.0,18.4099998474,0.6919999719,3,6,3,7,7,4,2
000038.SZ,-85.9681,31.0319,33.8049,2015-09-30,63271720.0,107.5199966431,0.2870000005,2,10,2,7,9,2,4
000039.SZ,16.2907,2.0694,482.3619,2015-09-30,12633858048.0,6.3499999046,-0.7300000191,4,3,10,7,1,5,10
000040.SZ,69.2758,3.5268,45.4097,2015-09-30,195078880.0,120.1299972534,0.0729999989,7,6,3,7,8,2,5
000042.SZ,15.8906,1.8813,70.4523,2015-09-30,823990912.0,35.1399993896,-1.5609999895,4,2,5,7,5,3,10
000045.SZ,-56.8553,2.2035,47.917,2015-09-30,322076320.0,116.1800003052,0.0780000016,2,3,3,7,7,2,5
000046.SZ,23.3735,4.6177,459.377,2015-09-30,4556436480.0,228.9499969482,0.6529999971,5,7,10,7,2,1,2
000048.SZ,37.5509,14.3177,94.8005,2015-09-30,552861696.0,1317.6800537109,0.7250000238,6,10,6,7,6,1,2
000049.SZ,31.3898,10.1055,82.4875,2015-09-30,2101873920.0,20.0499992371,1.5850000381,5,9,6,7,3,4,1
000050.SZ,24.4513,1.9951,165.2338,2015-09-30,2660896512.0,8.6300001144,1.4759999514,5,3,8,7,2,5,1
000055.SZ,50.0402,4.2633,53.8163,2015-09-30,692471808.0,20.6700000763,-0.4810000062,7,7,4,7,5,4,9
000056.SZ,-59.6833,2.7815,137.3898,2015-09-30,15841912.0,111.4499969482,0.0450000018,2,4,8,7,10,2,6
000058.SZ,151.3178,4.8097,69.0623,2015-09-30,194784480.0,-9.4499998093,-0.0590000004,9,7,5,7,8,6,7
000059.SZ,-18.1287,1.2555,110.3615,2015-09-30,5371599872.0,106.9800033569,3.7829999924,2,1,7,7,1,2,1
000060.SZ,45.8594,2.94,216.6163,2015-09-30,4763851776.0,-75.3499984741,0.0179999992,6,5,9,7,2,8,6
000061.SZ,255.3161,5.1724,250.8113,2015-09-30,413052032.0,-22.5900001526,0.3230000138,10,8,9,7,6,7,3
000062.SZ,69.7401,8.0538,204.6202,2015-09-30,301687680.0,-48.2000007629,0.0939999968,7,9,9,7,7,8,5
000063.SZ,21.3856,2.497,667.433,2015-09-30,22624454656.0,42.1899986267,0.0860000029,4,4,10,7,1,3,5
000065.SZ,34.9924,3.984,71.3367,2015-09-30,396133184.0,-26.2099990845,-0.1609999985,6,6,5,7,6,7,8
000066.SZ,758.615,11.4958,285.1021,2015-09-30,19099908096.0,-398.0700073242,0.2380000055,10,10,10,7,1,10,4
000068.SZ,-100.1875,17.3643,101.6738,2015-09-30,15209591.0,50.4599990845,-0.0439999998,1,10,7,7,10,3,7
000069.SZ,12.466,1.8413,532.9894,2015-09-30,7275276288.0,-11.4600000381,1.1740000248,3,2,10,7,1,6,1
000078.SZ,414.5737,6.4399,107.76,2015-09-30,2825350912.0,548.0200195312,-0.7889999747,10,8,7,7,2,1,10
000088.SZ,39.4368,2.8334,146.8303,2015-09-30,63003920.0,7.5799999237,0.1819999963,6,4,8,7,9,5,4
000089.SZ,38.3293,1.387,137.6066,2015-09-30,741358656.0,76.2900009155,0.4219999909,6,1,8,8,5,2,3
000090.SZ,13.6238,2.0808,82.8244,2015-09-30,1067025792.0,90.2600021362,-1.3079999685,3,3,6,8,4,2,10
000400.SZ,21.8109,3.129,179.7848,2015-09-30,1247647360.0,-72.1500015259,0.1400000006,4,5,9,8,4,8,5
000401.SZ,29.568,0.9709,120.4685,2015-09-30,3409160704.0,-3011.4499511719,0.6439999938,5,1,7,8,2,10,2
000402.SZ,7.357,1.0338,251.369,2015-09-30,2558917632.0,74.5599975586,-4.251999855,3,1,9,8,2,2,10
