date,code,open,high,low,close,volume,amount,pe,pb
2010-01-04,000001,24.52,24.58,23.68,23.71,241922.0,580249024.0,14.635802425770462,3.5978754857305315
2010-01-04,000002,10.85,10.87,10.6,10.6,969832.0,1034344000.0,22.08333382560765,3.1176469713460233
2010-01-05,000001,23.75,23.9,22.75,23.3,556499.0,1293476992.0,14.38271600676726,3.5356600091742463
2010-01-05,000002,10.51,10.52,10.2,10.36,1848620.0,1910013952.0,21.583333814461817,3.0470587380325282
2010-01-06,000001,23.25,23.25,22.72,22.9,412143.0,944452992.0,14.135802427251942,3.474961983265675
2010-01-06,000002,10.35,10.51,10.2,10.36,1358604.0,1405756032.0,21.583333814461817,3.0470587380325282
2010-01-07,000001,22.9,23.05,22.4,22.65,355336.0,804166016.0,13.981481440054868,3.4370257170728187
2010-01-07,000002,10.36,10.43,10.24,10.28,1152441.0,1188787968.0,21.41666714407987,3.02352932692803
2010-01-08,000001,22.5,22.75,22.35,22.6,288543.0,650667008.0,13.950617242615456,3.4294384638342477
2010-01-08,000002,10.28,10.38,10.19,10.35,1085304.0,1117117952.0,21.562500480664074,3.044117561644466
2010-01-11,000001,23.5,23.68,22.28,22.6,442846.0,1009985024.0,13.950617242615456,3.4294384638342477
2010-01-11,000002,10.52,10.6,10.08,10.18,1713005.0,1758363008.0,21.20833380610244,2.9941175630474075
2010-01-12,000001,22.57,22.65,21.8,22.45,591795.0,1310068992.0,13.85802465029721,3.4066767041185333
2010-01-12,000002,10.13,10.37,9.98,10.29,1520725.0,1548907008.0,21.437500477877613,3.026470503316092
2010-01-13,000001,21.87,21.9,20.8,20.96,935039.0,1990492032.0,12.938271566602651,3.1805765576091076
2010-01-13,000002,9.94,10.08,9.89,10.04,1892791.0,1892536960.0,20.916667132934037,2.9529410936145353
2010-01-14,000001,21.0,21.16,20.6,20.97,521194.0,1089329024.0,12.944444406090534,3.182094008256821
2010-01-14,000002,10.04,10.08,9.91,10.03,1192513.0,1192832000.0,20.895833799136295,2.949999917226473
2010-01-15,000001,21.02,21.65,20.65,21.43,539508.0,1146375040.0,13.22839502253315,3.251896738051678
2010-01-15,000002,10.06,10.23,10.04,10.14,1179247.0,1196520960.0,21.12500047091147,2.9823528574951585
2010-01-18,000001,21.43,21.76,21.21,21.47,349126.0,749940992.0,13.253086380484682,3.257966540642535
2010-01-18,000002,10.14,10.19,9.99,10.09,1251745.0,1259938048.0,21.020833801922755,2.967646975554847
2010-01-19,000001,21.58,22.34,21.56,22.23,650715.0,1438886016.0,13.722222181563787,3.3732927898688194
2010-01-19,000002,10.1,10.16,10.03,10.06,1064043.0,1073059968.0,20.958333800529527,2.95882344639066
2010-01-20,000001,22.22,22.6,21.3,21.38,490835.0,1079325952.0,13.197530825093734,3.2443094848131064
2010-01-20,000002,10.08,10.1,9.73,9.76,1737476.0,1719443968.0,20.333333786597233,2.8705881547487913
2010-01-21,000001,21.58,22.8,21.38,22.68,632301.0,1405278976.0,13.999999958518519,3.4415780690159616
2010-01-21,000002,9.76,9.87,9.63,9.8,1048284.0,1018078976.0,20.41666712178821,2.8823528603010407
2010-01-22,000001,22.44,23.45,21.88,23.08,882538.0,2002921984.0,14.246913538033835,3.502276094924532
2010-01-22,000002,9.68,9.73,9.5,9.55,1125393.0,1079529984.0,19.89583377684463,2.8088234505994834
2010-01-25,000001,22.6,23.1,22.1,22.19,356058.0,803320000.0,13.697530823612254,3.3672229872779624
2010-01-25,000002,9.52,9.65,9.45,9.52,601708.0,574865024.0,19.833333775451397,2.799999921435296
2010-01-26,000001,22.19,22.59,21.6,22.05,345325.0,760432000.0,13.611111070781893,3.3459786782099625
2010-01-26,000002,9.52,9.59,9.18,9.22,1055038.0,982443008.0,19.208333761519107,2.711764629793428
2010-01-27,000001,22.39,22.6,21.7,21.91,401034.0,892337024.0,13.52469131795153,3.324734369141963
2010-01-27,000002,9.25,9.46,9.19,9.29,955003.0,888059008.0,19.354167098103307,2.732352864509864
2010-01-28,000001,21.8,22.05,21.11,21.75,262132.0,567566976.0,13.425925886145404,3.3004551587785347
2010-01-28,000002,9.27,9.48,9.19,9.41,840947.0,785286976.0,19.604167103676225,2.7676469811666116
2010-01-29,000001,21.59,22.35,21.32,21.7,240688.0,528436992.0,13.395061688705988,3.2928679055399632
2010-01-29,000002,9.35,9.53,9.3,9.34,791506.0,745025024.0,19.458333767092025,2.7470587464501754
2010-02-01,000001,21.71,21.77,21.0,21.24,283179.0,602675008.0,13.111111072263373,3.2230651757451065
2010-02-01,000002,9.3,9.53,9.09,9.41,978056.0,906406976.0,19.604167103676225,2.7676469811666116
2010-02-02,000001,21.26,21.96,21.26,21.37,286733.0,620475008.0,13.191357985605853,3.2427920341653924
2010-02-02,000002,9.43,9.55,9.28,9.28,753918.0,709718016.0,19.333333764305564,2.7294116881218016
2010-02-03,000001,21.53,22.58,21.24,22.58,549005.0,1214267008.0,13.938271563639688,3.4264035625388187
2010-02-03,000002,9.26,9.48,9.13,9.45,818776.0,764873984.0,19.687500438867197,2.77941168671886
2010-02-04,000001,22.33,22.45,22.01,22.2,303346.0,675283008.0,13.703703663100136,3.3687404379256765
2010-02-04,000002,9.4,9.53,9.3,9.41,829512.0,781993024.0,19.604167103676225,2.7676469811666116
2010-02-05,000001,21.62,22.32,21.41,22.0,276174.0,601515008.0,13.580246873342478,3.338391424971391
2010-02-05,000002,9.26,9.32,9.15,9.2,687999.0,634905024.0,19.16666709392362,2.705882277017303
2010-02-08,000001,21.88,22.08,21.45,21.56,206423.0,447136992.0,13.308641935875627,3.2716235964719633
2010-02-08,000002,9.19,9.22,9.08,9.12,539591.0,492708000.0,19.000000423541675,2.682352865912805
2010-02-09,000001,21.6,22.15,21.53,22.0,248170.0,543120000.0,13.580246873342478,3.338391424971391
2010-02-09,000002,9.12,9.16,9.03,9.09,449034.0,408068000.0,18.937500422148446,2.673529336748618
2010-02-10,000001,22.2,22.38,22.02,22.28,253839.0,564177024.0,13.753086379003202,3.380880043107391
2010-02-10,000002,9.14,9.24,9.1,9.21,450541.0,412512000.0,19.187500427721368,2.708823453405366
2010-02-11,000001,22.21,22.35,22.08,22.11,139102.0,308844000.0,13.64814810770919,3.355083382096248
2010-02-11,000002,9.23,9.35,9.18,9.28,529121.0,491716000.0,19.333333764305564,2.7294116881218016
2010-02-11,000004,9.5,9.94,9.5,9.5,37140.0,35341780.0,323.12924840344306,12.532981262487736
