date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-01-29,600029,600115,601628,000858,600547,600887,601601,000895,000063,600519,600688,600104,601111,600369,002024,002304,000596,600028,000783,000661
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-02-26,600115,600547,600104,601628,601601,600519,002304,000895,600887,000858,000063,600688,000338,600369,002202,600703,002024,600221,000625,600031
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-03-31,600029,600115,601601,601628,600547,600887,000858,601111,600104,600519,600688,002304,000596,002024,000063,600369,000651,000661,002202,601318
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-04-30,600115,002304,600547,600489,601111,601318,601601,600362,600188,601628,600104,000338,600221,000898,600111,600688,601857,000596,000858,600519
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-05-31,600115,600029,002304,600489,601318,601111,601601,600362,601628,600104,600188,600111,600547,000338,000898,600688,600690,000596,601857,000858
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-06-30,600115,600489,002304,601601,601628,000338,600547,600690,600688,601857,600111,600519,600362,000596,600104,000898,600221,000858,600188,600809
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-07-30,600029,601111,600115,600489,601766,600688,600362,000898,600111,000596,000538,601600,000768,000425,600104,002310,600690,601727,600061,000069
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-08-31,600029,601111,600489,600362,601766,600115,600688,000898,600111,000538,000596,000768,600104,601600,002081,000425,002304,600061,600019,601601
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-09-30,600029,600489,601111,600362,600115,600111,601766,000898,600688,000538,601600,000596,600104,000768,000425,002304,600406,600690,600019,601601
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-10-29,600115,600029,601111,002304,000338,600489,600547,600362,600111,600188,000858,600690,000898,601318,000425,000596,600221,600104,600519,600809
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-11-30,600115,600029,002304,601111,000338,600111,600221,000858,600547,600489,600362,000596,600188,000425,000898,600519,600104,600690,600887,601318
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2010-12-31,600029,600115,601111,002304,600362,600111,000895,600547,600489,000858,600690,000596,600188,600221,000425,000898,601318,601766,600519,002241
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-01-31,600547,601600,002304,600111,000629,600031,600489,000895,000858,601111,601766,600115,601318,000596,600519,600104,000338,600029,000538,601808
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-02-28,002304,600547,600111,000629,600031,600489,000338,002081,000895,601111,600176,000858,600519,000596,600585,600406,601318,002241,600115,600690
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-03-31,600547,601600,600111,002304,600489,600031,600585,600176,600188,000338,600010,000596,601318,002241,000858,600519,000538,600115,600809,601919
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-04-29,600111,002304,600547,600519,600809,600362,000858,600489,600585,601318,600690,000651,601607,000568,600188,000630,600176,601601,601088,600309
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-05-31,600519,600111,600809,600547,600489,600362,000858,601318,600690,002304,600010,000651,601601,601607,600188,600176,000630,601088,000568,601766
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-06-30,600519,600111,000858,600809,600362,601318,002304,600489,600690,600010,000651,600188,600585,600176,000568,601601,601088,600068,000630,601766
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2011-07-29,600519,600547,600111,000858,000630,600362,002304,601601,600188,600809,600489,000596,601318,000651,600176,601600,600031,000568,601088,600585
date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
